id,order_id,payment_amount,payment_method,paid_date
1,1,26735.13,wire_transfer,2024-01-15
2,1,26735.12,wire_transfer,2024-02-15
3,2,10000,credit_card,2024-01-22
4,2,18915.8,credit_card,2024-02-22
5,3,20693.75,ach,2024-02-03
6,3,20693.75,ach,2024-03-03
7,4,9625,credit_card,2024-02-14
8,4,9625,credit_card,2024-03-14
9,5,40000,wire_transfer,2024-03-01
10,5,27830.75,wire_transfer,2024-04-01
11,6,15612.4,ach,2024-03-11
12,6,20000,check,2024-04-11
13,7,22147.55,credit_card,2024-03-28
14,7,22147.55,credit_card,2024-04-28
15,8,6390.3,ach,2024-04-05
16,8,6390.3,ach,2024-05-05
17,9,30000,wire_transfer,2024-04-19
18,9,28430,wire_transfer,2024-05-19
19,10,28960.18,credit_card,2024-05-02
20,10,28960.17,check,2024-06-02
